0,0
1,43759
2,101378
3,156027
4,211115
5,266651
6,321253
7,376529
8,431181
9,486582
10,541344
11,596109
12,651204
13,706327
14,760522
15,814985
16,871090
17,925372
18,979514
19,1033996
20,1088556
21,1142561
22,1197684
23,1251834
24,1305238
25,1358985
26,1412730
27,1465201
28,1518421
29,1571632
30,1625177
31,1679027
32,1733025
33,1787063
34,1839927
35,1893205
36,1944357
37,1994400
38,2043466
39,2091819
40,2142665
41,2193761
42,2244228
43,2294632
44,2344537
45,2395258
46,2443852
47,2494405
48,2534193
49,2577453
50,2624158
51,2669118
52,2713532
53,2763276
54,2810636
55,2853075
56,2902717
57,2953001
