0,0
1,7242
2,32737
3,57956
4,83333
5,108420
6,133251
7,158186
8,183296
9,208356
10,233277
11,257960
12,281552
13,303042
14,328043
15,352489
16,376959
17,401512
18,426333
19,451038
20,475802
21,500577
22,525040
23,549836
24,574706
25,599495
26,623934
27,648621
28,673139
29,697819
30,722555
31,747385
32,770621
33,794282
34,813089
35,834410
36,857473
37,882073
38,907108
39,931222
40,954975
41,977430
42,1000320
43,1023376
44,1043562
45,1062416
46,1086542
47,1111341
48,1135618
49,1159909
50,1184687
51,1208924
52,1233447
53,1258254
54,1282909
55,1307684
56,1332713
57,1357358
58,1382175
59,1406905
60,1432085
61,1456348
62,1481287
63,1506395
64,1531598
65,1556278
66,1580916
67,1605434
68,1629148
69,1652455
70,1677395
71,1701866
72,1725652
73,1750449
74,1776003
75,1798282
76,1821238
77,1846159
78,1871519
79,1896860
80,1922127
81,1947333
82,1972304
83,1998188
84,2023512
85,2048783
86,2074472
87,2099461
88,2124998
89,2150717
90,2175841
91,2200881
92,2224817
93,2249280
94,2274637
95,2300423
96,2325060
97,2350050
98,2374676
99,2399108
100,2424441
101,2450311
102,2475848
103,2501080
104,2526544
105,2552155
106,2577857
107,2603055
108,2628476
109,2653552
110,2678253
111,2703144
112,2727049
113,2752428
114,2777353
115,2802286
116,2827818
117,2853078
118,2876774
119,2901734
120,2926405
121,2951970
122,2976507
